축제명,축제유형,개최기간,개최장소,개최방식,담당자,연락처
제13회 철원 한탄강 얼음트레킹 축제,생태자연,25.01월초,철원 한탄강 물윗길 트레킹 코스 일원,대면,한진수,033-450-4778
제18회 철원 화강 다슬기 축제,생태자연,08.01.~08.04.,화강쉬리공원 및 김화생활체육공원 일원,대면,한진수,033-450-4778
제42회 태봉제,기타,10.03.~10.05.,철원종합운동장 일원,대면,한진수,033-450-4778
제19회 산천어축제,문화예술,01.06.~01.28.,화천군 화천천 일원,대면,이창수,033-440-2542
제20회 화천토마토축제,특산물,08.01.~08.04.,화천군 사내면 사창리 일원,대면,이다혜,033-440-2912
2024 청춘양구 곰취축제,특산물,05.03.~05.06.,양구읍서천레포츠공원,대면,류진성,033-482-9173
2024 도솔산지구전투전승행사,전통역시,06.14.~06.15.,양구종합운동장 일원,대면,백영기,033-482-9171
2024 국토정중앙 청춘양구 배꼽축제,문화예술,08.30.~09.01.,양구읍서천레포츠공원,대면,류진성,033-482-9173
제39회 양록제,기타,10.10.~10.12.,양구종합운동장 일원,대면,백영기,033-482-9171
2024 청춘양구 펀치볼 시래기 사과 축제,특산물,10.26.~10.27.,해안면 성황지 일원,대면,류진성,033-482-9173
국토정중앙 양구 보름달축제,문화예술,09.16.~09.17.,국토정중앙천문대 일원,대면,배태석,033-480-7255
제6회 인제가을꽃축제,생태자연,10월중,북면 용대관광지 일원,대면,김유나,033-460-2082
제24회 용대황태축제,지역특산물,5월중,북면 용대삼거리 일원,대면,김유나,033-460-2082
제42회 합강문화제,문화예술,10월중,인제군 일원,대면,이희성,033-460-2081
2024 봉포리 죽도 하트썸 축제,기타(주민화합),7월중,해풍공원 일원,대면,정래민,033-680-4092
삼포해변 서핑축제,기타(체험행사),7월중,삼포해변,대면,정래민,033-680-4092
해안선 레저스포츠 페스티벌,기타(체험행사),8월중,봉수대 해수욕장,대면,정래민,033-680-4092
제42회 군민의 날 및 수성문화제,전통역사,9월중,고성종합운동장 일원,대면,최정규,033-680-3593
제24회 고성통일명태축제,전통역사,10월 중,거진11리 해변,대면,김효섭,033-680-3362
아기연어 보내기 체험행사,생태자연,3~4월 중,양양 남대천,대면,이로즈마리,033-671-3803
양양송이연어축제,"특산물, 생태자연",9~10월 중,양양 남대천,대면,이로즈마리,033-671-3803
청주읍성축제,전통역사,09.08.~09.10.,중앙공원 및 성안동 일원,대면,이남옥,043-201-2014
청원생명축제,특산물,10.06.~10.15.,오창읍 미래지농촌테마공원,대면,김연수,043-201-2132
세종대왕과 초정약수축제,역사문화,10.20.~10.22.,"초정문화공원, 초정행궁 일원",대면,김중호,043-201-1794
벚꽃과함께 하는 푸드트럭 축제,기타,3월중,서원구 무심서로 일원,대면,김흥수,043-201-2056
청주 디저트베이커리페스타,기타,09.23.~09.24.,미정,대면,김흥수,043-201-2056
청주 문화유산 야행,전통역사,08.25.~08.27.,중앙공원 및 성안동 일원,대면,조현주,043-201-2436
충주다이브페스티벌,문화관광,05.30.~06.02.,충주종합운동장,대면,허유진,043-850-6721
제39회 수안보온천제,기타,04.12.~04.14.,수안보 물탕공원 일원,대면,허유진,043-850-6721
우륵문화제, 문화예술,10.03.~10.07.,탄금공원,대면,임진영,043-850-5962
2023충주씨브랜드패스티벌,특산물,10월 중,충주 탄금공원,대면,이래관,043-850-5721
제28회 청풍호 벚꽃축제,생태자연,4월중,청풍면 일원,대면,박형종,043-641-5516
제천 문화유산 야행,전통역사,08.30.~09.01.,의림지 일원,대면,조양희,043-641-5524
2024년 제천 수제맥주&달빛야시장 축제,기타,9월중,문화의거리 일원,대면,오지영,043-641-6606
제20회 제천국제음악영화제,문화예술,9월중,제천시 일원,대면,권덕상,043-641-5502
제3회 의림지 농경문화 예술제,문화예술,10.11.~10.13.,의림지 일원,대면,신채원,043-641-4936
슬로시티 힐링 축제,문화예술,10월중,수산면 일원,대면,홍기원,043-641-6704
2024 보은 벚꽃길 축제,생태자연,04.05.~04.07.,보청천 일원,대면,이해림,043-540-3392
2024 속리산 축제,전통역사,5~6월중,"속리산잔디공원,법주사",대면,전형태,043-540-3372
2024 보은대추축제,특산물,10.11.~10.20.,뱃들공원 일원,대면,이해림,043-540-3392
제37회 지용제,문화예술,05.17.~05.19.,정지용생가 및 구읍 일원,대면,이호재,043-730-3403
제22회 옥천묘목축제,특산물,03.29.~03.31.,옥천묘목공원,대면,이용희,043-730-3593
제15회 옥천참옻축제,특산물,4월중, 미정,대면,정회동,043-730-3594
제15회 향수옥천 포도복숭아축제,특산물,08.02.~08.04.,옥천공설운동장 일원,대면,곽상일,043-730-3262
2024 영동곶감축제,특산물,01.19.~01.21.,영동 하상주차장일원,대면,민병헌,043-745-8917
제13회 대한민국와인축제,특산물,05.09.~05.12.,영동 하상주차장일원,대면,이근향,043-745-8919
2024 영동포도축제,특산물,08.29.~09.01.,영동 레인보우힐링관광지 일원,대면,김승태,043-745-8918
제55회 영동난계국악축제,문화예술,10.10.~10.13.,영동 레인보우힐링관광지 일원,대면,민병헌,043-745-8917
증평인삼골축제,특산물,10월중,증평보강천체육공원 일원,대면,박종문,043-835-4114
증평들노래축제,전통역사,6월중,증평민속체험박물관일원,대면,김나아,043-835-4153
제24회 생거진천 농다리축제,전통역사,4월중,진천군 문백면 농다리 일원,대면,오혜진,043-539-3603
제45회 생거진천 문화축제,문화예술,10월중,진천군 진천읍 백곡천 일원,대면,오혜진,043-539-3603
괴산빨간맛페스티벌,생태자연,5월중,유기농엑스포광장 및 동진천 하상 일원,대면,송상훈,043-830-3463
괴산고추축제,특산품,9월중,유기농엑스포광장,대면,민헤만,043-830-3462
괴산김장축제,특산품,11월중,괴산종합운동장,대면,박은지,043-830-3464
제25회 음성품바축제,문화예술,05.22.~05.26.,설성공원,대면,신유나,043-871-3402
제43회 설성문화제,전통역사,9~10월중,설성공원,대면,신유나,043-871-3402
2024 음성명작페스티벌,특산물,8~9월중,금빛근린공원,대면,오찬교,043-871-3692
제40회 단양 소백산철쭉제,생태자연,05.23.~05.26.,소백산 일원,대면,김도환,043-420-2552
제26회 단양 온달문화축제,전통역사,10.03.~10.06.,영춘면 온달관광지 일원,대면,김도환,043-420-2552
천안흥타령춤축제 2024,문화예술,2024.9.25.~9.29.(5일간),천안종합운동장일원 ,대면,김병선,041-521-5173
천안위례벚꽃축제,생태자연,4월중,은석초 및 병천천 일원,대면,이항희,041-521-4721
입장거봉포도축제,특산물,9월중,입장거봉포도휴게소,대면,한혜림,041-521-6847
겨울공주 군밤축제,지역특산물,1월말,금강신관공원 일원,대면,김현오,041-840-2056
공주 석장리 구석기축제,전통역사,5월초,석장리박물관,대면,현은경,041-840-8069
유구색동수국정원 꽃축제,생태자연,6월말,유구천,대면,차태진,041-840-8111
계룡산산신제,전통역사,4월말,신원사 일원,대면,김라이,041-840-8093
마곡사 신록축제,문화예술,5월초,마곡사 일원,대면,김현오,041-840-2056
갑사황매화축제,생태자연,4월말,갑사 일원,대면,김라이,041-840-8093
공주항공축제,생태자연,10월초,공주경비행장,대면,김현오,041-840-2056
제70회 백제문화제,전통역사,9월말,금강신관공원 일원,대면,신승현,041-840-8112
구절산 구절초 축제,생태자연,10월초,구룡사 일원,대면,김라이,041-840-8093
무창포 주꾸미.도다리 축제,특산물,3월 중,무창포해수욕장 잔디광장,대면,이재언,041-930-6761
오천항 키조개 축제,특산물,5월 중,오천항 일원,대면,이재언,041-930-6761
대천항 수산물 축제,특산물,5월 중,대천항 일원,대면,이재언,041-930-6761
2024 보령.AMC 국제 모터페스티벌,테마,5. 4. ~ 5. 6.,머드엑스포광장,대면,김현종,041-930-6563
제27회 보령머드축제,기타,7. 19. ~8. 4.,머드엑스포광장,대면,이경신,041-930-6562
무창포 신비의 바닷길 축제,문화관광,9월 중,무창포 해수욕장 일원,대면,노정아,041-930-6561
무창포 대하전어 축제,특산물,9월 중,무창포 해수욕장 일원,대면,노정아,041-930-6561
대천해수욕장 조개구이 축제,특산물,9월 중,머드광장 일원,대면,김현종,041-930-6563
원산도 · 효자도 붕장어 축제,특산물,10월 초,원산도 선촌항 일원,대면,차성환,041-930-6856
청라은행마을축제,기타,10월 말,청라면 신경섭 가옥 및 정촌유기농원 일대,대면,이경신,041-930-6562
보령 김축제,특산물,11월 초,대천해수욕장 머드광장,대면,이재언,041-930-6761
천북 굴축제,특산물,12월 초,천북 굴단지 일원,대면,이재언,041-930-6761
고대도 칼 귀츨라프 선교 기념행사,문화관광,7. 24. ~ 7. 30.,고대도 일원,대면,김현종,041-930-6563
찾아가는 계절축제,문화예술,4월 중 / 7월 중 / 10월 중 / 11월 말 (연4회 계절별 축제 진행),"미정 (신정호, 지산공원 등 아산의 사계절을 느낄 수 있는 명소 중 선정 예정)",대면,박대수,041-540-2068
역사문화 페스티벌,전통역사,9월 중 2일간 예정,"아산시 도고면, 선장면 일원",대면,박대수,041-540-2068
공연예술제,문화예술,5월 중,미정,대면,박대수,041-540-2068
아트밸리 아산 제63회 성웅 이순신축제,문화예술,4월 말,"이순신종합운동장, 곡교천, 현충사, 은행나무길, 온양온천역",대면,안미정,041-530-6315
락페스티벌,문화예술,8월 중,신정호 야외음악당,대면,최정윤,041-530-6672
별빛음악제,문화예술,8월 중,신정호 야외음악당,대면,최정윤,041-530-6672
아트밸리 아산 제2회 JAZZ 페스타,문화예술,10월 중,신정호 야외음악당,대면,안미정,041-530-6315
설화예술제,문화예술,10월 초,신정호 야외음악당(예정),대면,박종석,041-540-2355
서산해미읍성축제,전통역사,10월 ,해미읍성 내,대면,김현주,041-660-3396
서산국화축제,생태자연,11월,서산시 고북면 복남골길 31-1 일원 서산국화축제장,대면,권진현,041-660-3936
팔봉산감자축제,특산물축제,6월,팔봉산 어울림마당 일원,대면,최향묵,041-660-3068
서산6쪽마늘축제,특산물축제,7월,해미읍성 내,대면,최향묵,041-660-3068
해미벚꽃축제,생태자연,4월,해미천 인근,대면,배동주,041-660-3844
류방택 별축제,전통역사과학,6월,류방택천문기상과학관,대면,형준영,041-661-8027
왕산포갯마을축제,수산물 지역축제 및 체험행사,5월,미정,대면,윤종두,041-660-2647
삼길포우럭축제,수산물 지역축제 및 체험행사,8월,대산읍 삼길포항 일원,대면,윤종두,041-660-2647
서산감태낙지축제,수산물 지역축제 및 체험행사,10월,미정,대면,윤종두,041-660-2647
간월도어리굴젓축제,수산물 지역축제 및 체험행사,10월,간월도 항,대면,윤종두,041-660-2647
논산딸기축제,특산물,3월 초 4일 개최,논산시민가족공원,혼합,이수빈,041-746-5663
논산연산대추문화축제,특산물,10월 중 3일 개최,논산시 연산면 일원,대면,조재호,041-746-5664
논산강경젓갈축제,특산물,10월 중 4일 개최,논산 강경읍 둔치 일원,혼합,조재호,041-746-5664
논산양촌곶감축제,특산물,12월 초 3일 개최,논산 양촌면 체육공원 일원,대면,이수빈,041-746-5663
2024계룡軍문화축제,문화예술,10월 초순,계룡대 비상활주로 ,대면,장민수,042-840-2622
향적산 봄나들이,문화예술,3월 말 ~ 4월 초,계룡시 향한리 일원,대면,장민수,042-840-2622
사계문화제,전통문화,4월말,사계고택,대면,서태중,042-840-2401
면천진달래민속축제,전통역사,4월 중순,면천읍성 일원,대면,강태규,041-360-8355
순성벚꽃축제,생태자연,4월 중순,갈산리 특설무대 일원,대면,김혜진,041-360-8406
기지시줄다리기민속축제,전통역사,4월 중순,기지시줄다리기박물관 일원,대면,고대영,041-350-3606
순성왕매실&당진맥주축제,특산물,6월 중순,순성왕매실마을 및 순성브루어리 일원,대면,김혜진,041-360-8406
당진합덕연꽃축제,생태자연,7월 중순,합덕제 일원,대면,이상식,041-350-4931
심훈상록문화제,전통역사,9월 말,당진 문예의전당 일원,대면,유소영,041-350-3572
삽교호조개구이홍보행사,특산물,10월 초,삽교호관광지 일원,대면,장승률,041-350-3592
남이흥장군문화제,전통역사,10월 말,당진시내 및 충장사 일원,대면,진용찬,041-350-3581
왜목마을해넘이해돋이소원제,생태자연,12.31~1.1.,왜목마을관광지일원,대면,권창중,041-350-3591
재42회 금산세계인삼축제,특산물,09.27.~10.07.,금산인삼관 광장 및 인삼약초거리일원,대면,이두영,041-750-2252
제4회 금산삼계탕축제,특산물,7월 중,금산인삼관 광장 및 인삼약초거리일원,대면,이두영,041-750-2252
2023년 비단고을 산꽃축제,생태자연,4월 중,산꽃벚꽃오토캠핑장(보곡산골),대면,이두영,041-750-2252
제13회 금산천 봄꽃축제,주민화합,4월 중,금산읍 금산천 둔치,대면,이두영,041-750-2252
제13회 남일면 홍도화축제,주민화합,4월 중,남일면 신정리 홍도마을,대면,이두영,041-750-2252
제22회 부여서동연꽃축제,문화예술,07.05.~07.07.,서동공원(궁남지) 일원,대면,장달희,041-830-2209
제70회 백제문화제,전통역사,9~10월중(미정),(미정),대면,송동훈,041-830-2208
2024년 제19회 부여 굿뜨래 알밤축제,특산물,10~11월중(미정),온라인 축제,비대면,김유진,041-830-2434
2024년 백제고도부여국화축제,생태자연,10~11월중(미정),(미정),대면,박진영,041-830-2591
부여 세도 방울토마토 유채꽃 축제,특산물,4월 중,(미정),대면,,(미정)
동백꽃 주꾸미 축제,특산물,3월 중,서면 마량진항,대면,김민지,041-950-4414
자연산 광어 도미 축제,특산물,5월 중,서면 마량진항,대면,김준식,041-950-4765
꼴뚜기 갑오징어 축제,특산물,5월 중,장항항 물양장,대면,김민지,041-950-4414
제34회 한산모시문화제,문화예술,6월 7일~9일,한산모시관 일원,대면,김수진,041-950-4016
춘장대해수욕장 여름문화예술 축제,문화예술,7월 말~8월 초,서면 도둔리 춘장대해수욕장 일원,대면,김민식,041-950-4253
제2회 장항 맥문동 꽃 축제,기타,8월 23일~27일(예정),장항 송림산림욕장,대면,서지영,041-950-4020
홍원항 전어 꽃게 축제,특산물,9월 중,서면 홍원항,대면,김준식,041-950-4765
자하(젓새우) 축제,특산물,9월 중,마서면 일원,대면,미정,
서천군 평생학습한마당,기타,10월 초~중반,봄의 마을 광장 일원,대면,조선예,041-950-4622
판교 도토리묵 축제,특산물,10월 중순 개최,판교면 현암리 149-9번지 일원,대면,김대석,041-950-6505
서천철새여행,생태자연,11월 중,조류생태전시관 일원,대면,이길섭,041-950-4163
2024 서천 마량진항 해넘이 해돋이 행사,기타,12월 31일~1월1일, 서천 마량진항,대면,서지영,041-950-4020
칠갑산장승문화축제,문화예술,4월 중,칠갑산장승공원일대,대면,전대현,041-940-2193
고추구기자 문화축제,특산물,9월 초,청양읍 백세건강공원 일원,대면,이기석,041-940-2302
홍성남당항 새조개축제,특산물,1.20.~2.11.,남당항 해양분수공원,대면,박소영,041-630-1237
홍성남당항 바다송어축제,특산물,4월 중,남당항 해양분수공원,대면,박선형,041-630-1266
구항벚꽃한우축제,생태자연,4월 중,구항면,대면,전혜강,041-630-9483
홍성역사인물축제,전통역사,미정,홍주읍성,대면,박소영,041-630-1237
홍성남당항 대하축제,특산물,9월 중,남당항 해양분수공원,대면,박소영,041-630-1237
광천김토굴새우젓 대축제,특산물,10월 중,광천전통시장,대면,박소영,041-630-1237
홍성사랑국화축제,생태자연,10월 중,홍주읍성,대면,김영근,041-630-9110
홍성군 가족축제,문화예술,10월 중,홍주읍성,대면,김수정,041-630-1635
글로벌 바베큐 페스티벌 in홍성,특산물,11월 중,홍주읍성,대면,박소영,041-630-1237
제51회 윤봉길 평화축제,역사인물,4월~5월 중,덕산면 충의사 일원,대면,장솔림,339-7317
제8회 예산장터삼국축제,지역경제활성화,10월 중,예산상설시장 일원,대면,장솔림,339-7317
제21회 예산황토사과축제,지역농특산물홍보,10~11월 중,예산종합운동장 일원,대면,장솔림,339-7317
2023 의좋은형제축제,전통역사,10월 중,대흥면 의좋은형제공원 일원,대면,이승민,339-7318
제5회 예산황새축제,테마(새),9월 중,광시면 예산황새공원 일원,대면,최순상,339-7338
제12회 몽산포항 주꾸미축제,특산물,4월중,몽산포항,대면,안숙주,041-670-2875
제1회 신진도항 오징어축제,특산물,7월말,신진도항,대면,안숙주,041-670-2875
안면도 백사장 대하축제,특산물,10월초,백사장항,대면,안숙주,041-670-2875
제20회 태안 모래조각 페스티벌,생태자연,9월중,미정,대면,윤지은,041-670-2766
2024년 태안거리축제,문화관광,10월중,태안읍 중앙로 일원,대면,박현준,041-670-2850
2024 태안국화축제,생태자연,10월말~11월초,옥파 이종일선생 생가지,대면,한제희,041-670-5062
2024년 대한민국 사구축제,생태자연,11월중,해안사구일원,대면,홍영선,041-670-5936
제14회 가재산 벚꽃길 걷기행사,기타,4월중,이원면 가재산 일원,대면,이상우,041-670-5743
황도붕기풍어제,문화예술,2024. 2. 11. ~ 12.,안면읍 황도리 당집 일원,대면,윤다희,041-670-5927
2024 전주 세계문화주간,문화예술,2024. 6월 중,전주시 일원,대면,문현민,063-281-8639
전주단오,전통역사,06.08.~06.10.,덕진공원,대면,김경수,063-281-2682
제14회 얼굴없는천사 축제,문화예술,10.03.~10.05,천사공원 일원,대면,김성호 ,063-281-2497
한옥마을 문화시설 특화축제,문화예술,10.25.~10.27.,한옥마을 일원,대면,양푸름,063-281-5195
제6회 전주 김장문화축제,특산물,11월중,미정,대면,송근혜,063-281-6735
2024 전주가맥축제,문화예술,08.08.~08.10.(예정),미정,대면,최승제,063-281-5059
전주페스타 2024,문화예술,10.03.~10.27.(예정),미정,대면,최승제,063-281-5059
2024 전주비빔밥축제,문화예술,10.3.~10.6.(예정),미정,대면,변문선,063-281-2382
제3회 어촌체험 섬마을 작은 축제,"특산물, 생태자연",5월중,고군산군도 어촌마을 일원,대면,이다미,063-454-2893
제56회 진포예술제,문화예술,5월중,군산예술의전당 등,대면,김현빈,063-454-3282
제12회 군산시간여행축제,"전통역사, 문화예술",10월 중,구.시청광장 및 시간여행마을일원,혼합형,서예지,063-454-3302
제7회 우체통거리 손편지축제,기타(주민화합 등),9월 중(2일),"우체통거리1길,2길",대면,정민주,063-454-4477
제3회 구영길 한마당,기타(주민화합 등),10월 중(2일),"근대쉼터, 중앙로1가",대면,김기은,063-454-4479
군산 수제맥주&블루스 페스티벌,특산물,6.20~6.22,근대역사박물관 일원,대면,이선우,063-454-5252
제19회 군산꽁당보리축제,특산물,5.2.~5.4.,미성동 일원,대면,전용광,063-454-5231
2024 익산 문화유산야행,전통역사,04.19~04.21,백제왕궁 일원,대면,정희운,063-859-5793
2024 익산서동축제,전통역사,05.03.~05.06.,금마면 서동공원 일원,대면,유영일,063-859-5826
두동편백마을 힐링숲축제,생태자연,09.27.~09.28.,성당면 두동편백마을 일원,대면,유영일,063-859-5826
제21회 익산 천만송이 국화축제,생태자연,10.18.~10.27.,중앙체육공원 등 6개소,대면,노은희,063-859-4977
제35회 정읍사문화제,문화예술,10.26~10.27,정읍사문화공원 일원,대면,송연주,063-539-5173
정읍 벚꽃축제,생태자연,3.29 ~ 4.1,정읍천변,대면,박옥주,063-539-5233
정읍 물빛축제,기타,8월중 4일,정읍천변,대면,박옥주,063-539-5233
정읍 캠핑축제,기타,10월중 4일,내장산문화광장,대면,박옥주,063-539-5233
제57회 동학농민혁명기념제,"문화예술, 전통역사",5. 10. ~ 5. 11.,동학농민혁명기념공원,대면,원동호,063-539-6923
제17회 정읍 구절초 꽃축제,생태자연,10.3~10.13(잠정),구절초 지방정원,대면,송대효,063-539-5697
제94회 춘향제,문화예술,5.10.~5.16.,"광한루원, 요천일원",대면,김혜린,063-620-5787
제32회 흥부제,문화예술,10.5.~10.7.,사랑의광장 일원,대면,김혜린,063-620-5787
제36회 지리산뱀사골고로쇠약수제,생태자연,2월중,산내면부운리 반선추차장,대면,이정숙,063-620-6168
제12회 지리산바래봉 겨울축제,생태자연,1~2월,운봉읍 용산리 268-6 ,대면,이정숙,063-620-6168
제28회 지리산바래봉 철쭉제,생태자연,4월말~5월(30일정도),운봉읍 용산리 268-6 ,대면,이정숙,063-620-6168
제45회 지리산 뱀사골 단풍제,생태자연,10월중(1일),지리산국립공원분소 내,대면,이정숙,063-620-6168
제2회 십승지명당운본고원벚꽃축제,생태자연,4월중(1일),서림공원 일원,대면,이정숙,063-620-6168
제1회 지리산흥부골 포도축제,특산물,8월중(1일),지리산농협농산물산지유통센터,대면,이정숙,063-620-6168
제10회 혼불문학신행길축제,문화예술,10.26~10.27(2일),남원혼불문학관,대면,이정숙,063-620-6168
제26회 김제지평선축제,문화예술,2024.10.2.~10.6.,김제시 일원(벽골제 중심),대면,이성하,063-540-3190
제17회 김제모락페스티벌,문화예술,2024.4.26.~4.27.,김제모악산일원,대면,이가현,063-540-3188
2024 꽃빛드리축제,문화예술,2024.3.29.~3.31.,김제시민문화체육공원,대면,김경미,063-540-3324
지평선광활햇감자축제,특산물,2024.4.20.~4.21.,김제광황초등학교 일원,대면,이가현,063-540-3188
제13회 지평선 추억의 보리밭 축제,생태자연/특산물,2024.5.4.~5.6.,새만금 6공구 내 원예단지(토끼섬 일원),대면,이가현,063-540-3188
제2회 김제 자원순환 새로보미축제,생태자연/특산물,2024.9.6.~9.7.,김제시민문화체육공원,대면,임예진,063-540-3435
제22회 완주 삼례딸기 축제,특산물,3월 중 ,삼례농협 인근 공영주차장,대면,이경희,063-290-3321
제12회 와일드&로컬푸드축제,특산물,9~10월 중,완주군 고산자연휴양림 일원,대면,송진석,063-290-2976
제7회 오성한옥마을 오픈가든축제,기타(주민화합),5월 중,소양오성한옥마을,대면,정소라,063-290-3977
제10회 완주곶감축제,특산물,12월 중,운주면,대면,정성범,063-290-2757
제2회 완주 대둔산축제,기타(주민화합),6월 중,완주군 대둔산 일원,대면,조흥찬,063-290-3978
제2회 완주 모악산 웰니스 축제,기타(주민화합),4월 중,완주군 모악산 일원,대면,정소라,063-290-3977
제34회 나라꽃 무궁화 전국축제 행사,생태자연,7~9월 중,고산면,대면,박준수,063-290-2766
제20회 진안고원 운장산 고로쇠 축제, 특산물,24.03.09.~03.10,주천면 대불리 삼거광장,현장,강정현,063-430-2393
제14회 진안고원 수박축제,특산물,24.07.27.~07.28.,동향면 체련공원,현장,강정현,063-430-2393
2024 진안홍삼축제, 특산물,24.09.~24.10.,마이산 북부 일원,현장,김영,063-430-2392
제6회 진안고원 김치보쌈축제,특산물,24.11.16~11.17.,마이산 북부 일원,현장,강정현,063-430-2393
제27회 무주반딧불축제, 생태자연,8.31.~9.7.,무주군 일원,대면,정경재,063-320-2537
안성두문낙화놀이,전통문화,미정,무주군 안성면,대면,정경재,063-320-2537
무주꽁꽁놀이축제, 놀이체험,미정,무주군 적상면,대면,정경재,063-320-2537
제2회 장수쿨밸리축제,특산물,07.31~08.04,장수군 번암면 방화동휴양림,대면,조혜정,063-350-2356
제18회 장수한우랑사과랑축제,특산물,09.05~09.08,장수군 의암공원 및 누리파크,대면,안수길,063-350-2357
제8회 번암물빛축제,생태자연,08.02~08.03,전라북도 장수군 번암면,대면,조주형,063-350-2353
계북 수박&토마토 축제,특산물,07.27~07.28,계북면 일원,대면,조주형,063-350-2353
장수읍 노하숲 작은축제,생태자연,10.03~10.04,장수읍 노하숲 일원,대면,조주형,063-350-2353
임실N치즈축제,특산물,10.3.~10.6.,"임실치즈테마파크, 임실치즈마을, 임실읍 일원",대면,김종훈,063-640-2524
아쿠아페스티벌,기타(주민화합),7.~8월중,임실치츠테마파크,대면,양병욱,063-640-2343
산타축제,기타(주민화합),12.23~12.25,임실치즈테마파크,대면,양병욱,063-640-2343
의견문화제,문화예술,5.4 ~ 5.6,오수의견공원 및 의견관광지 일원,대면,양현선,063-640-2313
필봉마을굿축제,문화예술,8.22 ~ 8.25,필봉농악전수교육관,대면,양현선,063-640-2313
사선문화제,문화예술,8.29 ~ 9.1,관촌사선대,대면,양현선,063-640-2313
옥정호벚꽃축제,기타(주민화합),4.6 ~ 4.7,운암면 옥정호출렁다리 및 순환도로 일원,대면,양현선,063-640-2313
제22회 옥천골 벚꽃축제,생태자연,2024. 3~4월중(미정),순창읍 경천로 일원,대면,설인수,063-650-1624
제1회 쌍치면 추령천 벚꽃축제,생태자연,2024. 4월중(미정),순창군 쌍치면 소재지 추령천 일원,대면,설인수,063-650-1624
제5회 섬진강 슬로슬로 발효마을 축제,생태자연,2024. 5.4. ~ 5.5,순창군 적성면 지내마을 ,대면,설인수,063-650-1624
제27회 추령장승축제,전통역사,2024. 10.26. ~ 10.27,순창군 복흥면 추령장승촌 일원,대면,설인수,063-650-1624
제19회 순창장류축제,특산물,2024. 10.11. ~ 10.13.,순창발효테마파크 일원,대면,설인수,063-650-1624
제51회 고창모양성제,전통역사,2024.10.9.~10.13.,고창읍성 일원,대면,유성희,063-560-2949
2024 고창갯벌축제,생태자연,2024.6월중(3일간),심원만돌일원,대면,박상욱,063-560-2632
바지락 오감체험 페스티벌,생태자연,2024.5.10.~12.(3일간),심원하전일원,대면,정혜리,063-560-2733
제28회고창해풍고추축제,특산물,2024. 8월중,고창 농산물유통센터 일원,대면,하헌욱,063-560-2695
제2회 고창 벚꽃축제,생태자연,2024.3.29.~31.,석정 일원,대면,유혜령,063-560-2948
제21회고창복분자와수박축제,특산물,6. 14. ~ 6. 16.(예정),선운산도립공원,혼합형,김보성,063-560-2531
고창 청보리밭축제,생태자연,4.20~5.12,학원농장,대면,오석,063-560-2524
제6회 개암동 벚꽃축제,생태자연,2024. 4월 중,부안 상서면 개암동,대면,강현주,063-580-3703
제11회 부안마실축제,문화예술,05.03.~05.06.,부안 해뜰마루 전라북도 지방정원,대면,신승호,063-580-3890
변산 비치파티,생태자연,2024. 8월 중,부안 변산해수욕장,대면,방지영,063-580-4789
고슴도치섬 위도상사화축제,생태자연,2024. 8월 중,부안 위도해수욕장,대면,이태영,063-580-3763
님의 뽕 축제,특산물,2024. 8월 중,부안댐 광장,대면,김재현,063-580-3854
부안 곰소젓갈발효축제,특산물,2024. 10월 중,부안 곰소리 일원,대면,오성여,063-580-4489
2024 부안붉은노을축제,생태자연,2024. 10월 중,부안 변산해수욕장,대면,신승호,063-580-3890
가을애(愛) 국화 축제,생태자연,2024. 11월 중,부안 매창공원 앞마당,대면,박연실,063-580-3835
부안 설숭어축제,특산물,2024. 12월 중,부안 상설시장,대면,이경훈,063-580-4118
제16회 명량대첩축제,전통역사,10.18.~10.20.(예정),"울돌목일원(해남, 진도)",대면,오세정,061-286-5251
제30회 국제남도음식문화큰잔치,특산물,10.11.~10.13.,목포 문화예술회관 일원,대면,이태희,061-286-5771
2024 유달산 봄 축제,"생태자연, 전통역사",3.29.~ 3.31.,유달산 및 근대역사거리일원,대면,유미리,061-270-8431
2024 목포항구축제,"전통역사, 문화예술",9.27.~9.29.,목포항 및 삼학도 일원,대면,최강,061-270-8441
제32회 여수영취산진달래축제,생태자연,3. 23. ~ 3. 24.,"흥국사 산림공원
및 영취산 일원",혼합형,안민지,061-659-4744
제58회 여수거북선축제,전통역사,5. 4. ~ 5. 7.,여수시 일원,혼합형,배현진,061-659-4743
제22회 거문도백도 은빛바다 체험행사,생태자연,8~10월중 2일,거문도 잉뤈,혼합형,배현진,061-659-4743
제15회 여수여자만갯벌노을체험행사,생태자연,9~10월중 2일,소라면 장척마을 일원,혼합형,최수지,061-659-4742
2024 여수동동북축제,전통역사,8~10월중 2일,"용기공원, 선소 일원",혼합형,안민지,061-659-4744
2024 여수밤바다불꽃축제,문화예술,8~10월중 1일,"이순신광장 및
장군도 앞 해상",혼합형,최수지,061-659-4742
제29회 여수향일암일출제,생태자연,2024. 12. 31. ~ 2025. 1. 1.,돌산 임포마을 향일암 일원,혼합형,배현진,061-659-4743
제20회 순천명품월등복숭아 체험행사,특산물,8.3.~8.4.,월등면 일원,대면,강민,061-749-8722
2024년 순천 문화유산 야행,문화예술,8.14.~8.18.,향동 일원,대면,박형철,061-749-6811
2024 세계유산축전(선암사·순천갯벌),문화예술,10.1.~10.31.,"선암사, 순천만습지 등",대면,조혜진,061-749-6812
